source_report,query_index,class,source_id,target_id,distance_km,original_baseline,original_ratio,original_penalty_ms,replay_baseline,aegis_median_ms,baseline_median_ms,replay_ratio,replay_penalty_ms,static_median_ms,static_vs_aegis,late_guard_median_ms,late_guard_vs_aegis,late_guard_advantage_ms,late_guard_regression_ms,late_guard_outcome,connect_32_ms,connect_32_outcome,connect_40_ms,connect_40_outcome,connect_32x16_ms,connect_32x16_outcome,classification,trace_chunks,upper_bound_chunk,all_correct
seed-1010/report.json,877,random,3768682146,7532813399,2.478403,bidijkstra,1.657929,7.443951,bidijkstra,17.627445,10.794168,1.633053,6.833277,16.133460,0.915247,17.393746,0.986742,0.233699,0.000000,neutral,16.849289,improved,16.895406,improved,17.344259,neutral,adaptive-scheduler-tail,64,63,true
seed-8675309/report.json,585,local,1674804703,11772240293,0.411042,astar,2.739642,1.391402,astar,1.537058,0.771586,1.992076,0.765472,1.590762,1.034939,1.591033,1.035116,0.000000,0.053975,neutral,1.559176,neutral,1.560646,neutral,1.549952,neutral,not-reproduced,5,5,true
seed-8675309/report.json,117,local,562777925,1702258418,0.657758,bidijkstra,1.601403,1.205817,bidijkstra,1.901581,1.664745,1.142266,0.236836,2.189730,1.151531,2.182022,1.147478,0.000000,0.280441,neutral,1.970406,neutral,1.901247,neutral,1.913267,neutral,not-reproduced,14,13,true
seed-141421356/report.json,693,local,940043728,661121154,0.829183,bidijkstra,1.514340,1.221906,bidijkstra,1.948784,1.743507,1.117738,0.205277,2.140139,1.098192,2.362961,1.212531,0.000000,0.414177,neutral,1.975356,neutral,1.945682,neutral,1.940732,neutral,not-reproduced,12,11,true
seed-161803398/report.json,720,local,1637581253,243441055,3.734941,bidijkstra,1.811569,1.996080,bidijkstra,2.399019,2.364720,1.014504,0.034299,3.074198,1.281440,2.962688,1.234958,0.000000,0.563669,neutral,2.536904,neutral,2.415998,neutral,2.426872,neutral,not-reproduced,19,19,true
seed-314159265/report.json,348,local,2569233118,6623045536,1.219176,bidijkstra,1.727423,1.574304,bidijkstra,1.749395,1.997398,0.875837,0.000000,2.258447,1.290987,2.105234,1.203407,0.000000,0.355839,neutral,1.783298,neutral,1.761874,neutral,1.760035,neutral,not-reproduced,12,12,true
seed-161803398/report.json,487,random,568095419,6952152241,3.459788,bidijkstra,1.277220,1.327307,bidijkstra,4.423310,5.304269,0.833915,0.000000,7.060174,1.596129,5.255137,1.188055,0.000000,0.831827,neutral,4.659929,neutral,4.558445,neutral,4.417360,neutral,not-reproduced,22,21,true
seed-424242/report.json,654,local,2559596270,6673169893,1.973447,bidijkstra,1.315650,1.862440,bidijkstra,5.159604,5.940873,0.868493,0.000000,8.907247,1.726343,6.381516,1.236823,0.000000,1.221912,regressed,6.091690,neutral,5.644987,neutral,5.723588,neutral,not-reproduced,33,32,true
seed-1010/report.json,684,local,1075239246,2244613010,1.215976,bidijkstra,1.504375,3.478822,bidijkstra,6.884058,7.145573,0.963402,0.000000,10.208769,1.482958,8.370064,1.215862,0.000000,1.486006,regressed,7.311969,neutral,7.202261,neutral,6.953821,neutral,not-reproduced,40,40,true
seed-141421356/report.json,801,local,6120297621,568091555,1.060801,bidijkstra,1.460226,1.403035,bidijkstra,2.407522,2.647090,0.909498,0.000000,3.698080,1.536052,3.181002,1.321276,0.000000,0.773480,neutral,2.511820,neutral,2.413077,neutral,2.370481,neutral,not-reproduced,13,13,true
seed-271828182/report.json,279,local,3387909480,2389181154,0.692262,bidijkstra,1.548719,5.703989,bidijkstra,13.350545,9.980934,1.337605,3.369611,15.234539,1.141117,14.356707,1.075365,0.000000,1.006162,regressed,12.962565,neutral,13.691970,neutral,13.535199,neutral,persistent-classical-tail,53,52,true
